USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
namananand        9167   1.1  0.5 1892225008  38848   ??  S     4Aug26  10:56.30 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper.app/Contents/MacOS/Antigravity IDE Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/namananand/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,11128916437436629230,10424437099738163828,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708996619331833
root               375   1.0  0.1 435348320   7424   ??  Ss   29Jun26  43:17.33 /usr/libexec/opendirectoryd
namananand       87461   0.9  0.4 444702896  36672   ??  Ss   Sun02PM  18:48.69 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
namananand        7008   0.9  1.2 1951196816 103344   ??  S    10:02PM   0:00.34 /Applications/Opera.app/Contents/Frameworks/Opera Framework.framework/Versions/133.0.5932.60/Helpers/Opera Helper (Renderer).app/Contents/MacOS/Opera Helper (Renderer) --type=renderer --extension-process --with-feature:ai-tab-management=on --with-feature:audio-analysis=on --with-feature:bluesky-in-sidebar=on --with-feature:cashback-assistant=off --with-feature:certificate-transparency-enforcement=on --with-feature:cms-tracking-rules=on --with-feature:discord-in-sidebar=on --with-feature:domain-suggestions-confidence-scoring=off --with-feature:domain-suggestions-vertical-suggestions=on --with-feature:early-bird=on --with-feature:feature-remote-disable-updates-testing-flag=off --with-feature:feature-remote-updates-testing-flag=on --with-feature:improved-adblocker=off --with-feature:in-house-autocomplete-send=on --with-feature:new-auto-pip-for-documents=on --with-feature:new-auto-pip-for-video=on --with-feature:opera-one-unskippable-introduction=on --with-feature:opera-startpage-special-2=off --with-feature:run-at-startup-default=on --with-feature:sd-suggestions-external=on --with-feature:session-restore-add-allegro-attributions=on --with-feature:sitecheck-age=on --with-feature:slack-in-sidebar=on --with-feature:specific-keywords=on --with-feature:startpage-opening-animation=off --with-feature:startpage-sync-banner-ref=on --with-feature:startup-campaigns=on --with-feature:tiktok-panel=off --with-feature:translator=on --with-feature:vpn-pro-v4-support=on --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=32148 --time-ticks-at-unix-epoch=-1784338207064044 --launch-time-ticks=1007385407530 --shared-files --metrics-shmem-handle=1752395122,r,1695032335012324163,3651168369720476640,2097152 --field-trial-handle=1718379636,r,4259352861691430868,12532122624158241401,262144 --enable-features=AutoPictureInPictureForVideoPlayback,AutoPictureInPictureVideoHeuristics,CertificateTransparencyAskBeforeEnabling,MultiThreadedUiCompositor,NativeNotifications,SystemNotifications --disable-features=SkiaGraphite,SyncWorkspacesInSessions --variations-seed-version --pseudonymization-salt-handle=1935764596,r,12837928360949867591,4324100031347266591,4 --trace-process-track-uuid=3190739110333233146 --seatbelt-client=144
namananand        2383   0.8  0.6 1714532208  52192   ??  S    29Jun26 270:52.90 /Applications/systemcontainer.app/Contents/Frameworks/systemcontainer Helper (Renderer).app/Contents/MacOS/systemcontainer Helper (Renderer) --type=renderer --user-data-dir=/Users/namananand/Library/Application Support/interviewcoder --standard-schemes=app --secure-schemes=app --fetch-schemes=app --app-path=/Applications/systemcontainer.app/Contents/Resources/app.asar --enable-sandbox --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1782712762762235 --launch-time-ticks=2591773499 --shared-files --field-trial-handle=1718379636,r,17687489894287018481,8026798770565831207,262144 --enable-features=PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --seatbelt-client=60
namananand       19026   0.8  0.2 440265024  18144   ??  S    16Aug26  20:58.23 /System/Applications/Music.app/Contents/MacOS/Music
root               817   0.8  0.2 435399280  18224   ??  Ss    4:57PM   2:53.91 /usr/sbin/bluetoothd
namananand       90437   0.8  0.4 486140288  36576   ??  S    Tue12PM   1:30.43 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --shared-files --metrics-shmem-handle=1752395122,r,3655337011566740842,13464375927631404498,524288 --field-trial-handle=1718379636,r,15249824208958850693,4754791418189997507,262144 --variations-seed-version=20260831-170048.808000-production --pseudonymization-salt-handle=1935764596,r,18375063535337986627,15305662642971464392,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=20
namananand       90445   0.7  0.3 1951146512  26736   ??  S    Tue12PM   0:29.54 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --extension-process --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=11 --launch-time-ticks=972593498442 --shared-files --metrics-shmem-handle=1752395122,r,16280604033725309331,13225262873411525940,2097152 --field-trial-handle=1718379636,r,15249824208958850693,4754791418189997507,262144 --variations-seed-version=20260831-170048.808000-production --pseudonymization-salt-handle=1935764596,r,18375063535337986627,15305662642971464392,4 --trace-process-track-uuid=3190708996619331833 --seatbelt-client=100
namananand       90422   0.7  1.0 486604464  87824   ??  S    Tue12PM   9:49.26 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome --no-startup-window --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors
root                 1   0.6  0.1 435246448   7664   ??  Ss   29Jun26 150:55.61 /sbin/launchd
namananand       70543   0.4  0.2 435429696  12672   ??  S    29Jul26  89:47.24 /Applications/Adobe Acrobat DC/Adobe Acrobat.app/Contents/Helpers/AdobeResourceSynchronizer.app/Contents/MacOS/AdobeResourceSynchronizer -c
namananand        2380   0.3  0.3 1714799136  27312   ??  S    29Jun26 151:08.56 /Applications/systemcontainer.app/Contents/MacOS/systemcontainer
namananand       70151   0.3  0.1 435803344   7072   ??  S    22Jul26  49:42.50 /Users/namananand/.hermes/hermes-agent/venv/bin/python -m hermes_cli.main serve --host 127.0.0.1 --port 0
namananand       87459   0.3  0.2 440416048  13840   ??  Ss   Sun02PM  13:20.17 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
namananand         607   0.3  0.2 435379056  19760   ??  S    29Jun26  61:31.34 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
